Ticker,Buy Date,Sell Date,Buy Price,Sell Price,Profit %
ADANIENT.NS,2022-03-14,2023-01-16,1816.41,3451.42,90.01
ADANIENT.NS,2024-05-20,2024-07-08,3381.95,3063.93,-9.4
ADANIENT.NS,2024-08-05,2024-08-12,3185.97,3107.26,-2.47
ADANIPORTS.NS,2022-01-10,2022-01-24,762.56,694.18,-8.97
ADANIPORTS.NS,2022-10-31,2022-12-19,849.34,781.62,-7.97
ADANIPORTS.NS,2023-11-13,2023-11-20,802.68,788.32,-1.79
ADANIPORTS.NS,2023-11-27,2024-09-02,820.27,1435.42,74.99
APOLLOHOSP.NS,2022-03-14,2022-03-28,4786.7,4457.36,-6.88
APOLLOHOSP.NS,2022-04-18,2022-04-25,4760.78,4405.38,-7.47
APOLLOHOSP.NS,2023-02-13,2023-03-06,4576.46,4287.26,-6.32
APOLLOHOSP.NS,2023-09-11,2023-10-23,5065.75,4805.48,-5.14
APOLLOHOSP.NS,2023-10-30,2024-04-29,5126.83,5984.24,16.72
APOLLOHOSP.NS,2024-06-17,2024-11-25,6143.97,6810.54,10.85
APOLLOHOSP.NS,2024-12-02,2025-01-13,7213.85,6809.74,-5.6
AXISBANK.NS,2022-03-28,2022-05-02,771.33,670.6,-13.06
AXISBANK.NS,2023-05-01,2023-08-14,863.01,941.52,9.1
AXISBANK.NS,2023-08-21,2024-01-29,981.5,1065.32,8.54
AXISBANK.NS,2024-02-19,2024-03-11,1095.02,1044.7,-4.6
AXISBANK.NS,2024-04-22,2024-08-05,1128.46,1141.77,1.18
AXISBANK.NS,2024-09-16,2024-10-07,1243.94,1171.45,-5.83
BAJFINANCE.NS,2022-01-03,2022-01-24,751.49,673.78,-10.34
BAJFINANCE.NS,2023-08-21,2023-11-06,713.15,736.22,3.24
BAJFINANCE.NS,2024-01-01,2024-01-22,762.56,700.69,-8.11
BAJFINANCE.NS,2025-09-01,2025-12-22,937.6,1000.2,6.68
BAJAJFINSV.NS,2022-01-10,2022-01-17,1817.32,1630.25,-10.29
BAJAJFINSV.NS,2022-03-28,2022-04-18,1710.49,1542.32,-9.83
BAJAJFINSV.NS,2023-09-04,2024-01-15,1539.28,1598.71,3.86
BAJAJFINSV.NS,2024-04-01,2024-05-06,1676.08,1570.94,-6.27
BAJAJFINSV.NS,2025-09-08,2025-12-22,2081.5,2013.8,-3.25
BPCL.NS,2023-11-06,2024-07-01,168.15,281.2,67.24
BPCL.NS,2024-07-22,2024-10-21,301.51,289.88,-3.86
BHARTIARTL.NS,2022-01-10,2022-02-21,704.29,673.06,-4.43
BHARTIARTL.NS,2022-03-14,2022-05-09,706.53,674.28,-4.56
BHARTIARTL.NS,2024-12-09,2024-12-16,1667.81,1565.02,-6.16
BHARTIARTL.NS,2025-01-13,2025-02-24,1614.01,1557.18,-3.52
BHARTIARTL.NS,2025-03-17,2025-08-11,1711.49,1873.8,9.48
BRITANNIA.NS,2023-04-24,2023-08-07,4436.9,4394.75,-0.95
BRITANNIA.NS,2025-08-25,2025-11-17,5824.0,5813.0,-0.19
CIPLA.NS,2022-01-31,2022-05-02,916.31,905.32,-1.2
CIPLA.NS,2022-12-19,2022-12-26,1089.18,1047.13,-3.86
CIPLA.NS,2024-05-20,2024-10-14,1458.37,1535.3,5.27
CIPLA.NS,2025-06-02,2025-09-29,1488.3,1517.7,1.98
CIPLA.NS,2025-10-06,2025-10-27,1561.8,1501.3,-3.87
COALINDIA.NS,2022-01-10,2022-06-20,119.62,132.13,10.46
COALINDIA.NS,2022-07-04,2022-12-19,142.05,173.72,22.29
COALINDIA.NS,2022-12-26,2023-01-02,181.79,173.07,-4.8
COALINDIA.NS,2023-02-27,2023-03-20,184.51,172.51,-6.5
COALINDIA.NS,2023-04-03,2023-06-19,183.47,186.95,1.89
COALINDIA.NS,2023-07-03,2023-07-17,193.65,189.51,-2.14
COALINDIA.NS,2023-07-31,2023-08-14,193.44,188.23,-2.7
COALINDIA.NS,2023-08-21,2024-09-16,191.74,441.73,130.38
COALINDIA.NS,2024-09-23,2024-09-30,464.36,447.36,-3.66
DIVISLAB.NS,2023-11-20,2024-01-22,3724.87,3540.94,-4.94
DIVISLAB.NS,2025-02-03,2025-02-17,6112.72,5730.95,-6.25
DIVISLAB.NS,2025-04-21,2025-08-04,5985.25,5914.5,-1.18
DRREDDY.NS,2023-06-12,2023-10-09,963.53,1078.77,11.96
DRREDDY.NS,2023-10-16,2023-10-23,1100.32,1066.34,-3.09
DRREDDY.NS,2023-11-20,2024-04-15,1115.51,1174.13,5.25
DRREDDY.NS,2024-04-22,2024-05-06,1235.22,1169.81,-5.3
DRREDDY.NS,2024-06-24,2024-09-16,1264.91,1301.97,2.93
DRREDDY.NS,2024-09-23,2024-09-30,1341.47,1318.29,-1.73
DRREDDY.NS,2025-08-18,2025-09-29,1277.6,1248.1,-2.31
DRREDDY.NS,2025-10-20,2025-10-27,1283.6,1197.6,-6.7
EICHERMOT.NS,2023-09-04,2024-01-22,3291.28,3531.03,7.28
EICHERMOT.NS,2024-02-12,2024-03-04,3835.86,3695.85,-3.65
EICHERMOT.NS,2024-03-18,2024-10-07,3894.2,4667.53,19.86
EICHERMOT.NS,2024-11-11,2024-12-16,4821.19,4673.9,-3.06
EICHERMOT.NS,2024-12-30,2025-02-17,5242.77,4898.93,-6.56
GRASIM.NS,2022-01-03,2022-02-14,1756.53,1683.34,-4.17
GRASIM.NS,2022-04-04,2022-05-02,1730.73,1529.79,-11.61
GRASIM.NS,2024-12-09,2024-12-16,2682.94,2479.68,-7.58
GRASIM.NS,2025-06-09,2025-11-10,2654.14,2783.4,4.87
HCLTECH.NS,2021-12-20,2022-01-24,1075.3,926.0,-13.88
HCLTECH.NS,2022-03-14,2022-03-28,1025.8,1002.45,-2.28
HCLTECH.NS,2023-01-09,2023-03-20,959.21,944.5,-1.53
HCLTECH.NS,2023-05-08,2024-04-01,1000.6,1448.26,44.74
HDFCBANK.NS,2023-04-03,2023-05-29,801.79,781.86,-2.49
HDFCBANK.NS,2023-06-19,2023-08-07,799.87,787.85,-1.5
HDFCBANK.NS,2023-09-11,2023-09-18,808.75,744.46,-7.95
HDFCBANK.NS,2025-03-17,2025-08-25,873.37,951.6,8.96
HDFCLIFE.NS,2023-11-13,2024-01-08,647.8,633.69,-2.18
HDFCLIFE.NS,2025-08-04,2025-09-29,761.55,759.2,-0.31
HDFCLIFE.NS,2025-11-17,2025-12-22,764.0,748.1,-2.08
HEROMOTOCO.NS,2024-04-29,2024-08-12,4343.27,4928.07,13.46
HEROMOTOCO.NS,2024-08-26,2024-10-14,5242.6,5012.73,-4.38
HINDALCO.NS,2021-12-27,2022-04-18,462.11,499.62,8.12
HINDALCO.NS,2024-03-25,2024-07-29,553.0,639.67,15.67
HINDALCO.NS,2024-08-26,2024-11-04,696.24,645.71,-7.26
HINDUNILVR.NS,2022-11-28,2023-01-16,2475.16,2412.36,-2.54
HINDUNILVR.NS,2023-01-23,2023-02-13,2472.37,2380.89,-3.7
ICICIBANK.NS,2022-01-03,2022-02-21,769.47,708.16,-7.97
ICICIBANK.NS,2023-12-04,2025-01-06,994.55,1240.28,24.71
ICICIBANK.NS,2025-03-17,2025-08-25,1332.82,1397.8,4.88
ITC.NS,2022-01-31,2022-02-21,201.84,188.57,-6.58
ITC.NS,2022-02-28,2022-12-19,198.75,294.69,48.28
ITC.NS,2023-01-23,2023-08-21,312.1,415.0,32.97
ITC.NS,2023-11-27,2024-01-29,421.04,411.96,-2.16
INDUSINDBK.NS,2023-05-08,2024-02-05,1182.41,1469.93,24.32
INDUSINDBK.NS,2024-03-25,2024-04-15,1535.95,1465.78,-4.57
INFY.NS,2022-03-07,2022-04-18,1635.62,1423.27,-12.98
INFY.NS,2024-11-18,2025-01-13,1847.57,1763.27,-4.56
JSWSTEEL.NS,2022-01-10,2022-01-24,652.58,600.34,-8.01
JSWSTEEL.NS,2022-10-24,2023-02-06,660.62,708.46,7.24
JSWSTEEL.NS,2023-05-29,2023-09-25,696.29,771.46,10.8
JSWSTEEL.NS,2023-11-27,2024-02-05,802.34,803.28,0.12
JSWSTEEL.NS,2024-02-26,2024-03-11,827.47,772.5,-6.64
JSWSTEEL.NS,2024-03-25,2024-11-11,821.53,936.53,14.0
JSWSTEEL.NS,2024-11-18,2024-11-25,974.73,963.41,-1.16
JSWSTEEL.NS,2024-12-02,2024-12-16,1001.1,914.89,-8.61
JSWSTEEL.NS,2025-05-12,2025-06-09,1019.06,984.6,-3.38
JSWSTEEL.NS,2025-06-16,2025-12-15,1002.85,1079.6,7.65
KOTAKBANK.NS,2022-10-17,2022-12-12,1896.82,1834.91,-3.26
KOTAKBANK.NS,2023-07-17,2023-07-31,1964.16,1832.86,-6.68
KOTAKBANK.NS,2024-09-09,2024-10-28,1818.25,1742.39,-4.17
KOTAKBANK.NS,2025-01-20,2025-06-02,1884.03,2071.01,9.92
KOTAKBANK.NS,2025-06-09,2025-07-28,2104.97,1992.4,-5.35
LT.NS,2023-06-05,2024-02-19,2296.77,3330.46,45.01
LT.NS,2024-02-26,2024-04-29,3571.85,3440.42,-3.68
LT.NS,2024-05-27,2024-09-30,3607.04,3461.67,-4.03
LT.NS,2024-11-04,2024-11-11,3626.48,3493.67,-3.66
LTIM.NS,2023-11-06,2024-01-22,5131.41,5358.13,4.42
LTIM.NS,2024-11-18,2024-12-23,6054.94,5605.09,-7.43
M&M.NS,2022-01-10,2022-02-14,850.12,821.95,-3.31
M&M.NS,2023-01-09,2023-02-27,1294.42,1236.38,-4.48
M&M.NS,2023-11-13,2024-10-28,1560.5,2795.19,79.12
M&M.NS,2024-11-04,2024-11-11,2951.19,2784.83,-5.64
M&M.NS,2024-11-18,2025-01-20,2988.94,2779.07,-7.02
M&M.NS,2025-02-03,2025-02-17,3172.96,2648.08,-16.54
MARUTI.NS,2022-01-03,2022-02-28,7625.72,6990.37,-8.33
MARUTI.NS,2022-10-24,2022-11-28,9216.31,8559.3,-7.13
MARUTI.NS,2024-01-29,2024-06-24,10442.72,11793.6,12.94
MARUTI.NS,2024-07-15,2024-08-12,12274.26,12082.53,-1.56
MARUTI.NS,2024-08-26,2024-09-02,12270.2,12055.67,-1.75
MARUTI.NS,2024-09-16,2024-10-14,12479.43,11975.48,-4.04
NESTLEIND.NS,2022-09-26,2023-01-16,924.83,933.02,0.89
NESTLEIND.NS,2023-09-11,2024-02-05,1104.82,1203.53,8.93
NESTLEIND.NS,2024-02-19,2024-04-15,1270.42,1200.82,-5.48
NESTLEIND.NS,2024-06-17,2024-08-05,1230.72,1239.17,0.69
NESTLEIND.NS,2024-08-12,2024-08-26,1249.44,1237.22,-0.98
NESTLEIND.NS,2024-09-09,2024-10-14,1252.38,1162.76,-7.16
NTPC.NS,2022-01-10,2022-06-13,116.84,124.78,6.79
NTPC.NS,2022-07-18,2022-12-19,132.33,147.59,11.53
NTPC.NS,2023-01-16,2023-01-23,152.75,150.58,-1.42
NTPC.NS,2023-02-13,2024-11-04,156.14,387.33,148.07
ONGC.NS,2022-01-03,2022-05-02,123.91,133.11,7.42
ONGC.NS,2023-06-26,2024-06-03,141.04,240.11,70.24
ONGC.NS,2024-06-24,2024-09-09,252.83,270.83,7.12
POWERGRID.NS,2022-08-08,2022-09-19,144.73,129.81,-10.31
POWERGRID.NS,2022-10-24,2022-12-19,145.35,138.62,-4.63
POWERGRID.NS,2023-01-16,2024-10-14,146.49,316.84,116.28
POWERGRID.NS,2024-11-25,2024-12-16,318.83,305.66,-4.13
POWERGRID.NS,2025-06-23,2025-07-21,293.03,286.03,-2.39
RELIANCE.NS,2022-01-10,2022-01-24,1155.28,1062.84,-8.0
RELIANCE.NS,2022-03-14,2022-06-20,1129.2,1137.55,0.74
RELIANCE.NS,2022-08-08,2022-09-12,1198.05,1140.88,-4.77
RELIANCE.NS,2024-05-20,2024-05-27,1469.37,1419.89,-3.37
RELIANCE.NS,2024-06-03,2024-08-05,1459.15,1463.47,0.3
RELIANCE.NS,2024-09-23,2024-09-30,1520.1,1381.01,-9.15
SBILIFE.NS,2021-12-27,2022-02-07,1186.59,1124.38,-5.24
SBILIFE.NS,2022-10-31,2022-11-14,1257.98,1235.26,-1.81
SBILIFE.NS,2022-11-28,2022-12-19,1287.35,1217.22,-5.45
SBILIFE.NS,2023-01-02,2023-01-30,1261.41,1131.2,-10.32
SBILIFE.NS,2024-06-17,2024-10-14,1461.37,1702.81,16.52
SBIN.NS,2022-01-10,2022-02-28,473.39,430.18,-9.13
SBIN.NS,2022-03-28,2022-05-02,473.25,450.67,-4.77
SBIN.NS,2023-09-11,2023-10-16,577.33,542.91,-5.96
SBIN.NS,2023-12-04,2024-08-12,592.13,796.11,34.45
SBIN.NS,2024-11-04,2024-12-23,826.55,783.91,-5.16
SUNPHARMA.NS,2021-12-27,2022-05-30,812.3,837.49,3.1
SUNPHARMA.NS,2022-07-25,2022-09-12,913.1,843.11,-7.67
SUNPHARMA.NS,2022-09-19,2023-02-13,894.63,963.39,7.69
SUNPHARMA.NS,2023-04-03,2023-05-01,990.4,949.64,-4.12
SUNPHARMA.NS,2024-07-01,2024-11-11,1548.98,1751.84,13.1
SUNPHARMA.NS,2024-12-23,2025-01-06,1844.03,1768.29,-4.11
TATASTEEL.NS,2023-11-20,2024-07-15,120.65,154.17,27.79
TATASTEEL.NS,2025-09-01,2025-11-24,167.68,167.96,0.17
TCS.NS,2022-03-28,2022-04-18,3400.6,3268.33,-3.89
TCS.NS,2023-06-26,2023-10-23,3115.19,3177.55,2.0
TCS.NS,2023-11-27,2024-04-15,3329.93,3653.48,9.72
TCS.NS,2024-06-24,2024-10-07,3755.01,3999.97,6.52
TCS.NS,2024-11-25,2024-12-30,4127.29,3962.08,-4.0
TATACONSUM.NS,2022-07-11,2022-10-10,770.98,742.41,-3.71
TATACONSUM.NS,2022-11-21,2022-12-26,769.62,747.97,-2.81
TATACONSUM.NS,2024-07-01,2024-09-30,1129.03,1122.08,-0.62
TECHM.NS,2023-11-20,2024-03-11,1132.82,1212.59,7.04
TECHM.NS,2024-05-13,2024-05-27,1234.76,1161.75,-5.91
TECHM.NS,2024-06-03,2025-01-13,1302.81,1613.61,23.86
TECHM.NS,2025-01-20,2025-01-27,1674.6,1600.1,-4.45
TITAN.NS,2025-08-18,2025-09-22,3621.0,3327.3,-8.11
ULTRACEMCO.NS,2022-01-10,2022-01-17,7490.0,7193.84,-3.95
ULTRACEMCO.NS,2024-05-20,2024-10-14,10106.72,10999.58,8.83
ULTRACEMCO.NS,2024-12-02,2025-01-06,11773.87,10796.76,-8.3
ULTRACEMCO.NS,2025-02-03,2025-02-17,11567.28,11086.97,-4.15
ULTRACEMCO.NS,2025-06-23,2025-09-29,12136.07,12019.0,-0.96
ULTRACEMCO.NS,2025-10-13,2025-10-20,12370.0,11918.0,-3.65
UPL.NS,2021-12-27,2022-02-14,717.99,696.7,-2.96
UPL.NS,2022-03-21,2022-05-23,767.43,727.12,-5.25
UPL.NS,2023-02-13,2023-02-27,750.04,691.46,-7.81
UPL.NS,2025-06-30,2025-09-22,675.12,648.0,-4.02
WIPRO.NS,2021-12-13,2022-01-17,317.88,286.72,-9.8
WIPRO.NS,2024-06-10,2025-02-24,229.58,272.29,18.6
