Date,Time,Ticker,Price,Signal,Reason
2025-12-26,14:26:45,BAJFINANCE.NS,999.0999755859375,BUY,SELL
2025-12-26,14:26:47,BAJAJFINSV.NS,2007.0,BUY,SELL
2025-12-26,14:26:53,HDFCLIFE.NS,746.9000244140625,BUY,SELL
2025-12-26,15:03:38,BAJFINANCE.NS,1000.5999755859375,BUY,SELL
2025-12-26,15:03:39,BAJAJFINSV.NS,2013.0999755859375,BUY,SELL
2025-12-26,15:03:46,HDFCLIFE.NS,748.2999877929688,BUY,SELL
2025-12-26,15:14:21,BAJFINANCE.NS,1000.9000244140625,BUY,SELL
2025-12-26,15:14:57,BAJAJFINSV.NS,2021.0,BUY,SELL
2025-12-26,15:15:32,HDFCLIFE.NS,749.1500244140625,BUY,SELL
2025-12-26,15:22:29,BAJFINANCE.NS,999.7999877929688,BUY,SELL
2025-12-26,15:22:30,BAJAJFINSV.NS,2020.0999755859375,BUY,SELL
2025-12-26,15:22:36,HDFCLIFE.NS,749.2999877929688,BUY,SELL
2025-12-26,15:27:51,BAJFINANCE.NS,998.7999877929688,BUY,SELL
2025-12-26,15:27:52,BAJAJFINSV.NS,2020.0,BUY,SELL
2025-12-26,15:27:56,HDFCLIFE.NS,748.25,BUY,SELL
